company,industry,city,year,revenue_mln,employees
Дельта-Технолоджис,Энергетика,Екатеринбург,2022,3941.6,1731
Дельта-Технолоджис,Энергетика,Екатеринбург,2023,4099.5,1800
Дельта-Технолоджис,Энергетика,Екатеринбург,2024,4569.5,2007
Альфа-Пром,Строительство,Казань,2022,1512.2,254
Альфа-Пром,Строительство,Казань,2023,1993.6,334
Альфа-Пром,Строительство,Казань,2024,2084.3,350
Меридиан-Пром,Транспорт,Новосибирск,2022,695.4,166
Меридиан-Пром,Транспорт,Новосибирск,2023,813.6,194
Меридиан-Пром,Транспорт,Новосибирск,2024,885.6,211
Лидер-Пром,Строительство,Москва,2022,954.7,89
Лидер-Пром,Строительство,Москва,2023,939.3,87
Лидер-Пром,Строительство,Москва,2024,871.6,81
Лидер-Логистик,Строительство,Новосибирск,2022,2639.0,649
Лидер-Логистик,Строительство,Новосибирск,2023,2848.6,701
Лидер-Логистик,Строительство,Новосибирск,2024,2547.1,627
Заря-Инвест,Энергетика,Екатеринбург,2022,3000.7,780
Заря-Инвест,Энергетика,Екатеринбург,2023,3093.7,804
Заря-Инвест,Энергетика,Екатеринбург,2024,5457.9,1418
Дельта-Систем,Транспорт,Владивосток,2022,409.1,40
Дельта-Систем,Транспорт,Владивосток,2023,476.1,47
Дельта-Систем,Транспорт,Владивосток,2024,635.2,63
Хорда-Инвест,Пищепром,Санкт-Петербург,2022,1569.8,518
Хорда-Инвест,Пищепром,Санкт-Петербург,2023,1531.7,505
Хорда-Инвест,Пищепром,Санкт-Петербург,2024,1992.5,658
Гранит-Пром,IT,Санкт-Петербург,2022,2742.8,838
Гранит-Пром,IT,Санкт-Петербург,2023,3210.4,980
Гранит-Пром,IT,Санкт-Петербург,2024,2250.3,687
Сигма-Технолоджис,Пищепром,Казань,2022,1842.2,885
Сигма-Технолоджис,Пищепром,Казань,2023,1808.5,869
Сигма-Технолоджис,Пищепром,Казань,2024,2230.2,1071
Вектор-Групп,Транспорт,Санкт-Петербург,2022,3488.5,716
Вектор-Групп,Транспорт,Санкт-Петербург,2023,4027.4,827
Вектор-Групп,Транспорт,Санкт-Петербург,2024,2994.0,614
Альфа-Софт,Транспорт,Москва,2022,2415.8,689
Альфа-Софт,Транспорт,Москва,2023,2491.9,710
Альфа-Софт,Транспорт,Москва,2024,4355.1,1242
Гранит-Софт,Финансы,Новосибирск,2022,278.8,125
Гранит-Софт,Финансы,Новосибирск,2023,248.9,111
Гранит-Софт,Финансы,Новосибирск,2024,333.1,149
Кристалл-Софт,Ритейл,Казань,2022,557.1,155
Кристалл-Софт,Ритейл,Казань,2023,547.4,153
Кристалл-Софт,Ритейл,Казань,2024,921.6,257
Лидер-Инвест,Пищепром,Новосибирск,2022,3719.2,1477
Лидер-Инвест,Пищепром,Новосибирск,2023,4487.1,1782
Лидер-Инвест,Пищепром,Новосибирск,2024,4096.5,1627
Феникс-Логистик,Строительство,Владивосток,2022,3603.5,971
Феникс-Логистик,Строительство,Владивосток,2023,3178.3,856
Феникс-Логистик,Строительство,Владивосток,2024,2668.4,719
Эверест-Пром,Энергетика,Новосибирск,2022,78.4,29
Эверест-Пром,Энергетика,Новосибирск,2023,69.3,26
Эверест-Пром,Энергетика,Новосибирск,2024,58.8,22
Кристалл-Систем,Строительство,Санкт-Петербург,2022,2080.9,409
Кристалл-Систем,Строительство,Санкт-Петербург,2023,2329.8,458
Кристалл-Систем,Строительство,Санкт-Петербург,2024,3055.1,601
Эверест-Групп,Телеком,Новосибирск,2022,3149.2,1319
Эверест-Групп,Телеком,Новосибирск,2023,2829.4,1185
Эверест-Групп,Телеком,Новосибирск,2024,3575.4,1498
Сигма-Инвест,Пищепром,Сочи,2022,1894.7,731
Сигма-Инвест,Пищепром,Сочи,2023,2542.8,982
Сигма-Инвест,Пищепром,Сочи,2024,1532.0,591
Лидер-Групп,Пищепром,Нижний Новгород,2022,3212.3,404
Лидер-Групп,Пищепром,Нижний Новгород,2023,3591.8,452
Лидер-Групп,Пищепром,Нижний Новгород,2024,2719.4,342
Титан-Систем,Транспорт,Екатеринбург,2022,1877.4,839
Титан-Систем,Транспорт,Екатеринбург,2023,2354.3,1053
Титан-Систем,Транспорт,Екатеринбург,2024,3066.2,1371
Меридиан-Софт,Ритейл,Москва,2022,2626.0,806
Меридиан-Софт,Ритейл,Москва,2023,2354.6,722
Меридиан-Софт,Ритейл,Москва,2024,3952.1,1213
Альфа-Логистик,Энергетика,Казань,2022,1655.3,467
Альфа-Логистик,Энергетика,Казань,2023,2153.9,607
Альфа-Логистик,Энергетика,Казань,2024,1438.8,405
Импульс-Групп,IT,Сочи,2022,1097.6,449
Импульс-Групп,IT,Сочи,2023,1165.1,476
