order_id;date;item;qty;price
0001;2025-03-11;  американо ;1;220.00
0002;2025-03-04;Круассан;2
0003;2025-03-03;Чизкейк;1;420.00
0004;2025-03-02;Чай;1;200.00
0005;2025-03-31;Латте;2;320.00
0006;2025-03-02;Какао;3;n/a
0007;2025-03-04;Чай;-1;200.00
0008;2025-03-19;Чай;2;200.00
0009;2025-03-03;Чай;1;200.00
0010;2025-03-14;Круассан;1;240.00
0011;2025-03-08;Американо;2;220.00
0012;2025-03-17;Сэндвич;3;390.00
0013;2025-03-03;КАПУЧИНО;1;300.00
0014;2025-03-30;Сэндвич;1;390,00
0015;2025-03-18;Чай;2;200.00
0016;2025-03-12;Чай;две;200.00
0017;2025-03-31;Эспрессо;-;180.00
0018;2025-03-10;Чай;4;200.00
0019;2025-03-13;Круассан;-1;240.00
0020;2025-03-04;Сэндвич;1;390,00
0021;2025-03-08;Чизкейк;1;420,00
0022;2025-03-15;Чизкейк;1;420.00
0023;2025-03-28;Какао;1;280.00
0024;2025-03-29;ЧИЗКЕЙК;-1;420.00
0025;2025-03-08;Раф;-1;380.00
0026;2025-03-10;Латте;1;320.00
0027;2025-03-11;Американо;2;220.00
0028;2025-03-22;Латте;1;320.00
0029;2025-03-22;Какао;1;280,00
0030;2025-03-21;  чизкейк ;1
0031;2025-03-06;  капучино ;;300.00
0032;2025-03-05;Какао;;280.00
0033;2025-03-28;РАФ;2;380.00
0034;2025-03-12;ЧАЙ;1;200.00
0035;2025-03-15;  сэндвич ;1;390,00
0036;2025-03-11;Эспрессо;1;180.00
0037;2025-03-07;Какао;1;280.00
0038;2025-03-25;Какао;1;280,00
0039;2025-03-28;Эспрессо;1;180.00
0040;2025-03-08;Какао;1;280.00
0041;2025-03-20;Раф;2;380.00
0042;2025-03-08;Раф;;380.00
0043;2025-03-01;Эспрессо;1;180.00
0044;2025-03-12;Сэндвич;2;390.00
0045;2025-03-12;Капучино;1
0046;2025-03-07;Сэндвич;2;390.00
0047;2025-03-16;  круассан ;2;240.00
0048;2025-03-30;Чизкейк;2;420.00
0049;2025-03-06;Чизкейк;2;420.00
0050;2025-03-24;Чизкейк;1;420,00
0051;2025-03-06;  американо ;4;220.00
0052;2025-03-15;Американо;2;220.00
0053;2025-03-30;Круассан;;240.00
0054;2025-03-26;Капучино;1;300.00
0055;2025-03-28;Раф;2;380.00
0056;2025-03-10;Какао;1;280.00
0057;2025-03-14;Американо;1;220.00
0058;2025-03-22;Чай;2;200.00
0059;2025-03-29;КАКАО;1;280.00
0060;2025-03-28;Сэндвич;2;390.00
0061;2025-03-05;Американо;1;220,00
0062;2025-03-02;Круассан;2;240.00
0063;2025-03-25;  капучино ;3
0064;2025-03-02;Капучино;1;300.00
0065;2025-03-30;Капучино;1;300.00
0066;2025-03-17;Раф;2;380.00
0067;2025-03-16;Какао;3;280.00
0068;2025-03-31;Эспрессо;3
0069;2025-03-15;Американо;1;220.00
0070;2025-03-22;Раф;1;380.00
0071;2025-03-04;Американо;3;220.00
0072;2025-03-09;Американо;4;220.00
0073;2025-03-13;Сэндвич; 1 ;390.00
0074;2025-03-23;Чизкейк;4;420.00
0075;2025-03-12;Круассан;1;240.00
0076;2025-03-15;Сэндвич;2;390.00
0077;2025-03-10;  какао ;4;280.00
0078;2025-03-08;Капучино;1;300.00
0079;2025-03-06;Эспрессо;2;180.00
0080;2025-03-22;Эспрессо;1;180.00
0081;2025-03-16;  круассан ;1;240.00
0082;2025-03-14;  капучино ;1;300,00
0083;2025-03-09;Капучино;2;300.00
0084;2025-03-04;Сэндвич;1;390.00
0085;2025-03-30;  эспрессо ;2;180.00
0086;2025-03-31;Капучино;-1;300.00
0087;2025-03-30;Эспрессо;2
0088;2025-03-15;Какао;2;280.00
0089;2025-03-09;Латте;1;320.00
0090;2025-03-07;Какао;1;280,00
0091;2025-03-27;Чизкейк;2;420.00
0092;2025-03-17;Эспрессо;2;180.00
0093;2025-03-27;Американо;две;220.00
0094;2025-03-01;Капучино;2;300.00
0095;2025-03-02;Капучино;2;300.00
0096;2025-03-10;Чай;1;200.00
0097;2025-03-06;Эспрессо;1;180.00
0098;2025-03-18;Круассан;1;240.00
0099;2025-03-12;Американо;1;220.00
0100;2025-03-17;Раф;1;380,00
0101;2025-03-27;Капучино;1;300.00
0102;2025-03-10;  эспрессо ;2;180.00
0103;2025-03-28;Американо;2;220.00
0104;2025-03-13;Круассан;2;240.00
0105;2025-03-20;Американо;1;220.00
0106;2025-03-21;Чизкейк;2;n/a
0107;2025-03-17;Какао;;280.00
0108;2025-03-22;Чай;2;200.00
0109;2025-03-21;  раф ;1;380.00
0110;2025-03-31;Капучино;две;300.00
0111;2025-03-21;Какао;;280.00
0112;2025-03-26;Капучино;2;300.00
0113;2025-03-22;Какао;1;280.00
0114;2025-03-03;Эспрессо; 1 ;180.00
0115;2025-03-21;Сэндвич;1;390.00
0116;2025-03-22;Эспрессо;2;180.00
0117;2025-03-03;Чай;1;200.00
0118;2025-03-10;  чай ;n/a;200.00
0119;2025-03-22;Капучино;2;300.00
0120;2025-03-17;Эспрессо;1;180,00
0121;2025-03-29;Какао;1;280.00
0122;2025-03-01;Эспрессо;1;180.00
0123;2025-03-15;Эспрессо;1;180.00
0124;2025-03-03;Чай;1;200.00
0125;2025-03-12;Американо;2;220.00
0126;2025-03-04;Круассан;1;240.00
0127;2025-03-01;Американо;1;220.00
0128;2025-03-10;Американо;1;220,00
0129;2025-03-11;Латте;1;320.00
0130;2025-03-31;Раф;2;380.00
0131;2025-03-12;Капучино;1;300.00
0132;2025-03-12;Чизкейк;2;420.00
